,Data,Tipo da uva,Nome da uva,Kilogramas
395,2011-01-01,BRANCAS E ROSADAS,Vernaccia,4930
396,2011-01-01,BRANCAS E ROSADAS,Viognier,144979
397,2012-01-01,TIN,TINTAS,39303313
398,2012-01-01,TINTAS,Alicante Bouschet,2098824
399,2012-01-01,TINTAS,Ancelota,1274677
400,2012-01-01,TINTAS,Arinarnoa,81026
401,2012-01-01,TINTAS,Aspirant Bouschet,7448
402,2012-01-01,TINTAS,Barbera,47549
403,2012-01-01,TINTAS,Bonarda,1114
404,2012-01-01,TINTAS,Cabernet Franc,2594675
405,2012-01-01,TINTAS,Cabernet Sauvignon,11355820
406,2012-01-01,TINTAS,Carmenere,48990
407,2012-01-01,TINTAS,Corvina,1200
408,2012-01-01,TINTAS,Egiodola,992241
409,2012-01-01,TINTAS,Ekigaina,2630
410,2012-01-01,TINTAS,Gamay St Romain,10995
411,2012-01-01,TINTAS,Gamay Beaujolais,163664
412,2012-01-01,TINTAS,Lagrein,800
413,2012-01-01,TINTAS,Lambrusco,52740
414,2012-01-01,TINTAS,Malbec,629019
415,2012-01-01,TINTAS,Merlot,9645204
416,2012-01-01,TINTAS,Marselan,261314
417,2012-01-01,TINTAS,Molinera,990
418,2012-01-01,TINTAS,Montepulciano,27678
419,2012-01-01,TINTAS,Napa Gamay,86650
420,2012-01-01,TINTAS,Nebbiolo,37530
421,2012-01-01,TINTAS,Petit Verdot,102402
422,2012-01-01,TINTAS,Petite Sirah,149196
423,2012-01-01,TINTAS,Pinotage,863296
424,2012-01-01,TINTAS,Pinot Noir,2799071
425,2012-01-01,TINTAS,Pinot Saint George,20920
426,2012-01-01,TINTAS,Rebo,16440
427,2012-01-01,TINTAS,Refosco,12120
428,2012-01-01,TINTAS,Rondinella,1020
429,2012-01-01,TINTAS,Ruby Cabernet,470683
430,2012-01-01,TINTAS,Sangiovese,280756
431,2012-01-01,TINTAS,Tannat,4585214
432,2012-01-01,TINTAS,Tempranillo,283929
433,2012-01-01,TINTAS,Teroldego,157368
434,2012-01-01,TINTAS,Torrontes,4300
435,2012-01-01,TINTAS,Touriga Nacional,133820
436,2012-01-01,BRA,BRANCAS E ROSADAS,36519724
437,2012-01-01,BRANCAS E ROSADAS,Alvarinho,5081
438,2012-01-01,BRANCAS E ROSADAS,Arriloba,40000
439,2012-01-01,BRANCAS E ROSADAS,Chardonnay,6347044
440,2012-01-01,BRANCAS E ROSADAS,Chenin Blanc,257090
441,2012-01-01,BRANCAS E ROSADAS,Colombard,773273
442,2012-01-01,BRANCAS E ROSADAS,Flora,68260
443,2012-01-01,BRANCAS E ROSADAS,Gewurztraminer,327678
444,2012-01-01,BRANCAS E ROSADAS,Italia (Pirovano 65) (PE),61799
445,2012-01-01,BRANCAS E ROSADAS,Malvasia Amarela,115147
446,2012-01-01,BRANCAS E ROSADAS,Malvasia Bianca,119122
447,2012-01-01,BRANCAS E ROSADAS,Malvasia Verde,10979
